City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,polyarnyy,69.1989,33.4478,36.91,70,100,5.61,RU,1727976099
210,fort st. john,56.2499,-120.8529,31.89,100,100,4.61,CA,1727976100
211,ust-nera,64.5667,143.2,24.82,93,100,1.95,RU,1727976102
212,nouadhibou,20.931,-17.0347,73.38,73,58,18.41,MR,1727976103
213,gereida,11.2811,25.1414,84.43,55,100,4.32,SD,1727976104
214,khvoynaya,58.9,34.5333,48.33,77,100,2.8,RU,1727976105
215,tidjikja,18.5564,-11.4271,98.35,25,100,6.69,MR,1727976106
216,ahvaz,31.3203,48.6693,89.55,22,0,9.22,IR,1727976107
217,sinop,41.7711,34.8709,59.29,87,0,2.21,TR,1727976109
218,kodinar,20.7903,70.7031,81.23,78,41,9.04,IN,1727976110
219,chonchi,-42.6128,-73.8092,48.42,69,86,1.9,CL,1727976111
220,yuzhno-kurilsk,44.0306,145.8556,54.41,93,100,11.56,RU,1727976112
221,ola,59.5833,151.2833,40.55,85,67,6.22,RU,1727976113
222,al jawf,29.5,38.75,81.91,23,0,9.91,SA,1727976114
223,bogale,16.2833,95.4,77.97,92,98,5.44,MM,1727976116
224,sant antoni de portmany,38.9807,1.3036,71.58,72,20,5.75,ES,1727976117
225,praia da vitoria,38.7333,-27.0667,80.85,74,20,12.88,PT,1727976118
226,mastic beach,40.7668,-72.8521,70.12,66,100,8.05,US,1727976119
227,fale old settlement,-9.3852,-171.2468,82.54,78,19,13.73,TK,1727976120
228,dudinka,69.4058,86.1778,32.81,98,100,7.34,RU,1727975988
229,omdurman,15.6445,32.4777,103.23,15,7,11.9,SD,1727976123
230,stanley,54.868,-1.6985,53.28,84,20,3.44,GB,1727976124
231,belmonte,-15.8631,-38.8828,82.53,60,6,11.56,BR,1727976125
232,ghat,24.9647,10.1728,92.37,13,0,7.65,LY,1727976126
233,vilhena,-12.7406,-60.1458,80.82,78,40,9.22,BR,1727976128
234,tindouf,27.6711,-8.1474,102.65,8,31,16.11,DZ,1727976129
235,tyukhtet,56.5389,89.3011,40.05,84,99,6.26,RU,1727976130
236,sarina,-21.4333,149.2167,68.27,1,76,11.5,AU,1727976131
237,port mathurin,-19.6833,63.4167,73.15,88,14,13.06,MU,1727976132
238,tranovaho,-19.6833,63.4167,73.15,88,14,13.06,MU,1727976132
239,cherrapunji,25.3,91.7,61.34,99,100,0.47,IN,1727975955
240,copiapo,-27.3667,-70.3333,79.83,26,0,7.29,CL,1727976115
241,rawson,-43.3002,-65.1023,62.89,20,0,20.71,AR,1727976137
242,gaoping,30.7758,106.1029,63.07,83,100,1.45,CN,1727976138
243,marka,1.7159,44.7717,77.86,85,10,16.73,SO,1727976139
244,katsuura,35.1333,140.3,77.9,89,77,17.49,JP,1727976141
245,fort bragg,35.139,-79.006,81.68,65,20,6.91,US,1727976142
246,crane,31.3974,-102.3501,82.81,30,3,13.76,US,1727976143
247,tynda,55.1667,124.7167,29.91,63,87,2.17,RU,1727976144
248,nar'yan-mar,67.6713,53.087,35.28,84,100,6.49,RU,1727976145
249,anadyr,64.75,177.4833,37.9,100,100,8.95,RU,1727976146
250,ilinge,-31.9768,27.0427,61.54,45,0,13.2,ZA,1727976147
251,necochea,-38.5473,-58.7368,59.14,45,0,1.43,AR,1727976028
252,faridnagar,28.7667,77.6167,80.37,58,0,4.97,IN,1727976150
253,asau village,28.7667,77.6167,80.37,58,0,4.97,IN,1727976150
254,usinsk,65.9939,57.5281,37.72,95,100,4.45,RU,1727976152
255,alice springs,-23.7,133.8833,63.95,36,40,4.61,AU,1727976153
256,xichang,27.8964,102.2634,56.8,94,100,0.16,CN,1727976155
257,gimbi,9.1667,35.8333,57.97,94,81,1.5,ET,1727976156
258,ambon,-3.6954,128.1814,80.87,95,40,6.91,ID,1727976157
259,papao,-17.75,-149.55,76.68,86,100,15.23,PF,1727976158
260,ta`u,-14.2336,-169.5144,80.11,78,24,24.4,AS,1727976159
261,lebu,-37.6167,-73.65,54.68,64,58,14.67,CL,1727976160
262,kegeyli shahar,42.7767,59.6078,67.42,21,73,9.37,UZ,1727976162
263,uyar,55.81,94.3153,30.97,92,32,7.02,RU,1727976163
264,mucumpiz,8.4167,-71.1333,68.41,77,78,4.52,VE,1727976164
265,bredasdorp,-34.5322,20.0403,59.29,85,2,17.78,ZA,1727976165
266,mykolayiv,46.9659,31.9974,62.82,71,23,7.4,UA,1727976166
267,maumere,-8.6199,122.2111,76.64,83,55,4.29,ID,1727976167
268,ha'il,27.5219,41.6907,86.02,21,0,11.5,SA,1727976169
269,cable beach,27.5219,41.6907,86.02,21,0,11.5,SA,1727976169
270,toliara,-23.35,43.6667,72.39,45,0,24.45,MG,1727976171
271,weno,7.4515,151.8468,78.75,89,75,3.44,FM,1727976172
272,archangelos,36.2149,28.1149,73.38,64,0,1.43,GR,1727976173
273,lihue,21.9789,-159.3672,74.79,89,0,16.11,US,1727976174
274,gusinoozyorsk,51.2833,106.5,40.08,84,100,6.78,RU,1727976176
275,villa gesell,-37.2639,-56.973,52.14,62,3,11.63,AR,1727976177
276,seminole,28.7086,-81.2081,90.18,70,20,9.22,US,1727976178
277,salinopolis,-0.6136,-47.3561,84.56,70,82,15.93,BR,1727976179
278,la passe,45.5549,-0.8967,61.59,68,69,7.96,FR,1727976180
279,alta,69.9689,23.2717,38.46,83,75,5.75,NO,1727976181
280,saint-louis,16.3333,-15.0,95.7,39,100,10.56,SN,1727976183
281,balchik,43.4167,28.1667,64.56,94,34,4.0,BG,1727976184
282,hanting,36.7708,119.2108,55.08,52,0,4.63,CN,1727976185
283,tura,25.5198,90.2201,73.47,98,100,3.6,IN,1727976186
284,new norfolk,-42.7826,147.0587,40.93,96,37,2.59,AU,1727976187
285,muli,2.9167,73.5667,83.77,73,100,8.95,MV,1727976188
286,ixtapa,20.7,-105.2,88.83,58,40,4.0,MX,1727976189
287,qarazhal,48.0078,70.7903,53.89,17,0,13.91,KZ,1727976191
288,la'ie,21.6477,-157.9253,78.12,76,12,4.0,US,1727976192
289,freetown,8.484,-13.2299,76.78,87,100,4.7,SL,1727976193
290,talara,-4.5772,-81.2719,83.16,69,0,11.5,PE,1727976194
291,silver springs,29.1044,-82.0206,89.96,69,27,1.01,US,1727976195
292,pacific grove,36.6177,-121.9166,86.41,71,0,3.44,US,1727975972
293,bayanaul,50.7889,75.6956,39.34,60,1,3.94,KZ,1727976198
294,cozumel,20.5083,-86.9458,89.67,66,40,9.22,MX,1727975904
295,santa sylvina,-27.8326,-61.1375,83.05,18,14,8.84,AR,1727976200
296,tsiombe,-25.3,45.4833,65.55,61,82,13.67,MG,1727976201
297,semey,50.4111,80.2275,42.26,58,0,8.99,KZ,1727976202
298,nikolayevsk-on-amure,53.1406,140.73,44.11,86,11,3.69,RU,1727976204
299,macon,39.8667,-88.9668,77.25,33,0,6.91,US,1727976205
300,constantia,44.1833,28.65,61.7,81,7,13.8,RO,1727976206
301,orenburg,51.7727,55.0988,44.62,30,100,8.93,RU,1727976207
302,murun-kuren,49.6342,100.1625,45.16,59,100,3.62,MN,1727976208
303,queenstown,-31.8976,26.8753,62.83,38,1,12.44,ZA,1727976049
304,vilyuysk,63.7553,121.6247,33.55,97,100,4.07,RU,1727976026
305,tinajo,29.0788,-13.7081,77.88,65,20,25.32,ES,1727976212
306,la libertad,-2.2333,-80.9,78.46,69,40,11.5,EC,1727976213
307,howrah,22.5892,88.3103,80.6,94,75,0.0,IN,1727976092
308,el bauga,18.262,33.9081,98.08,14,0,4.14,SD,1727976215
309,luderitz,-26.6481,15.1594,65.37,55,72,3.42,NA,1727976217
310,federal,-30.9547,-58.7833,68.13,35,3,9.13,AR,1727976218
311,cabedelo,-6.9811,-34.8339,84.87,70,100,16.2,BR,1727976219
312,garoowe,8.4054,48.4845,85.64,46,83,13.58,SO,1727976115
313,al jadid,27.05,14.4,84.07,22,0,2.8,LY,1727976221
314,al jumum,21.6169,39.6981,88.95,41,0,7.81,SA,1727976017
315,lypova dolyna,50.5643,33.7979,60.33,32,97,8.39,UA,1727976223
316,carnarvon,-24.8667,113.6333,64.0,70,3,15.39,AU,1727976225
317,thinadhoo,0.5333,72.9333,83.34,74,83,5.75,MV,1727976226
318,whangarei,-35.7317,174.3239,42.35,93,0,1.83,NZ,1727976227
319,piti village,13.4626,144.6933,77.88,93,75,9.22,GU,1727976228
320,mianyang,31.4593,104.7542,59.83,83,100,1.34,CN,1727976229
321,soure,-0.7167,-48.5233,87.93,62,53,12.33,BR,1727976230
322,uttar char fasson,22.2332,90.7132,82.42,81,99,11.74,BD,1727976232
323,hami,42.8,93.45,65.55,23,89,10.22,CN,1727976233
324,san patricio,28.017,-97.5169,87.75,45,0,11.01,US,1727976234
325,vila velha,-20.3297,-40.2925,82.35,78,20,12.66,BR,1727976235
326,moyynkum,44.2914,72.9469,62.06,43,0,22.21,KZ,1727976237
327,berdigestyakh,62.0989,126.6992,34.0,96,100,6.46,RU,1727976238
328,gunjur,13.2019,-16.7339,87.87,62,40,8.05,GM,1727976239
329,rongelap,11.1635,166.8941,83.14,76,89,13.33,MH,1727976073
330,manokwari,-0.8667,134.0833,78.33,77,100,4.12,ID,1727976241
331,beau vallon,-20.4189,57.6953,71.83,88,75,0.0,MU,1727976243
332,chebba,35.2372,11.115,82.9,56,100,14.72,TN,1727976244
333,mana,5.6592,-53.7767,84.13,72,100,10.0,GF,1727976245
334,yekaterinoslavka,50.3734,129.1139,45.88,75,17,8.41,RU,1727976246
335,zeya,53.75,127.2667,39.29,80,95,2.39,RU,1727976247
336,chabahar,25.2919,60.643,85.55,76,0,11.95,IR,1727976248
337,port douglas,-16.4833,145.4667,71.28,81,37,9.66,AU,1727976249
338,kwang binh,17.4833,106.6,73.92,80,90,8.25,VN,1727976251
339,okehampton,50.7384,-4.0016,54.66,85,5,7.14,GB,1727976252
340,yeppoon,-23.1333,150.7333,69.96,57,44,18.61,AU,1727976253
341,olds,51.7834,-114.102,36.84,86,88,3.47,CA,1727976254
342,reggane,26.7158,0.1714,102.16,12,0,2.86,DZ,1727976255
343,black point,-34.6187,137.8972,56.53,81,82,9.82,AU,1727976256
344,castillos,-34.1667,-53.8333,57.0,55,12,8.21,UY,1727976258
345,batticaloa,7.7102,81.6924,82.06,77,48,7.61,LK,1727976259
346,shiprock,36.7855,-108.687,73.22,15,0,0.25,US,1727976260
347,greymouth,-42.4667,171.2,47.1,92,100,6.53,NZ,1727976261
348,kalmar,56.6616,16.3616,50.97,81,0,6.91,SE,1727976262
349,slavyanka,42.8633,131.3847,49.98,79,44,2.28,RU,1727976263
350,tumut,-35.3,148.2167,49.51,68,83,3.85,AU,1727976265
351,sigli,5.3848,95.9609,78.87,82,100,3.8,ID,1727976266
352,toga village,5.3848,95.9609,78.87,82,100,3.8,ID,1727976266
353,sitka,57.0531,-135.33,48.09,81,75,4.61,US,1727976268
354,hirara,24.8,125.2833,75.06,100,75,13.8,JP,1727976269
355,chibougamau,49.9168,-74.3659,56.82,67,100,16.11,CA,1727976271
356,al bab,36.3699,37.5179,74.73,36,0,7.7,SY,1727976272
357,canico,32.6333,-16.85,83.71,65,20,21.85,PT,1727976273
358,campo gallo,-26.5833,-62.85,85.15,15,6,6.96,AR,1727976274
359,liupanshui,-26.5833,-62.85,85.15,15,6,6.96,AR,1727976274
360,imbituba,-28.24,-48.6703,62.51,56,97,13.18,BR,1727976277
361,amargosa,-13.0303,-39.6047,89.62,33,24,6.13,BR,1727976278
362,val-d'or,48.1002,-77.7828,62.69,59,75,13.8,CA,1727976003
363,nhamunda,-2.1861,-56.7131,101.61,33,34,3.06,BR,1727976281
364,magadan,59.5667,150.8,40.01,91,76,7.61,RU,1727976282
